1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,6,7,5,7,2,8,5,5,4,4,1,4,4,7,4,1,5,6,3,3
2,3,2,6,4,7,2,6,5,7,6,7,6,6,3,7,5,5,3,3,2
6,6,2,1,3,4,1,4,5,3,4,3,5,4,5,4,3,0,3,3,7
1,0,4,3,1,2,4,0,0,1,1,4,0,1,0,0,6,5,3,6,3
0.75,0.6666666666666666,0.7777777777777778,0.45454545454545453,0.6363636363636364,0.2222222222222222,0.8,0.45454545454545453,0.5,0.36363636363636365,0.4,0.125,0.4,0.4,0.7,0.36363636363636365,0.16666666666666666,0.5,0.6666666666666666,0.5,0.6
0.8571428571428571,1,0.6363636363636364,0.625,0.875,0.5,0.6666666666666666,1,1,0.8,0.8,0.2,1,0.8,1,1,0.14285714285714285,0.5,0.6666666666666666,0.3333333333333333,0.5
0.7999999999999999,0.8,0.7000000000000001,0.5263157894736842,0.7368421052631579,0.30769230769230765,0.7272727272727272,0.625,0.6666666666666666,0.5000000000000001,0.5333333333333333,0.15384615384615385,0.5714285714285715,0.5333333333333333,0.8235294117647058,0.5333333333333333,0.15384615384615383,0.5,0.6666666666666666,0.4,0.5454545454545454
